EmailID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2
7289,0,11,8,0,8,27.27,0,3
7289,1,16,14,1,13,18.75,2,0
7289,2,10,8,0,8,20.00,2,0
7289,3,13,12,0,12,7.69,1,0
7289,4,8,7,0,7,12.50,0,1
7289,5,19,14,0,14,26.32,2,3
7289,6,25,24,0,24,4.00,0,1
7289,7,14,13,0,13,7.14,1,0
7289,8,24,17,1,16,33.33,6,1
7289,9,11,10,0,10,9.09,1,0
7289,10,11,9,0,9,18.18,1,1
7289,11,27,20,1,19,29.63,5,2
7289,12,9,8,0,8,11.11,0,1
7289,13,14,10,0,10,28.57,2,2
7289,14,39,26,1,25,35.90,6,7
7289,15,16,13,0,13,18.75,3,0
7289,16,8,7,0,7,12.50,1,0
7289,17,5,5,0,5,0.00,0,0
7289,18,9,7,0,7,22.22,1,1
7289,19,13,12,0,12,7.69,1,0
7289,20,20,16,1,15,25.00,2,2
7289,21,19,17,0,17,10.53,2,0
7289,22,25,22,2,20,20.00,3,0
7289,23,16,14,0,14,12.50,1,1
7289,24,13,12,0,12,7.69,0,1
7289,25,16,13,1,12,25.00,2,1
7289,26,13,11,0,11,15.38,1,1
7289,27,3,3,0,3,0.00,0,0
7289,28,14,10,0,10,28.57,1,3
7289,29,29,27,1,26,10.34,1,1
7289,30,4,4,0,4,0.00,0,0
7289,31,14,11,1,10,28.57,3,0
7289,32,14,9,0,9,35.71,3,2
7289,33,13,11,0,11,15.38,1,1
7289,34,15,11,0,11,26.67,4,0
7289,35,18,16,1,15,16.67,1,1
7289,36,18,14,1,13,27.78,4,0
7289,37,10,9,0,9,10.00,1,0
7289,38,5,5,0,5,0.00,0,0
7289,39,19,19,1,18,5.26,0,0
7289,40,8,7,0,7,12.50,1,0
7289,41,27,22,1,21,22.22,3,2
7289,42,4,4,0,4,0.00,0,0
7289,43,12,11,0,11,8.33,1,0
7289,44,7,7,0,7,0.00,0,0
7289,45,10,10,0,10,0.00,0,0
7289,46,10,8,0,8,20.00,2,0
7289,47,21,16,1,15,28.57,2,3
7289,48,10,8,0,8,20.00,0,2
7289,49,9,8,0,8,11.11,0,1
7289,50,15,12,0,12,20.00,1,2
7289,51,12,10,0,10,16.67,1,1
7289,52,5,4,0,4,20.00,1,0
7289,53,7,7,0,7,0.00,0,0
7289,54,10,10,0,10,0.00,0,0
7289,55,15,13,0,13,13.33,2,0
7289,56,10,8,0,8,20.00,0,2
7289,57,26,17,0,17,34.62,7,2
7289,58,25,19,1,18,28.00,5,1
7289,59,27,19,1,18,33.33,5,3
